Effort,Focus,Gender,Age,Ethnicity,Race,Nationality,Sub_Code
NA,NA,M,28,NHL,W,en-US,wPIgEbkZ
NA,NA,M,35,HL,W,en-US,97KtfInO
NA,NA,M,70,NHL,W,en-US,7n2a7und
NA,NA,F,36,NHL,AA,en-US,b4XEmCtg
NA,NA,M,31,HL,W,en-US,OB16YtL7
NA,NA,F,29,NHL,W,en-US,6ftHZkLW
NA,NA,F,49,NHL,W,en-US,QgPwhi4C
NA,NA,M,33,NHL,W,en-US,AeNtfGhY
NA,NA,M,39,NHL,W,en-US,n5WyKu7b
NA,NA,M,21,NHL,W,en-US,JCT9d1Uf
NA,NA,M,36,NHL,W,en-US,DgaPj1hX
NA,NA,M,45,NHL,W,en-US,5eV01OVb
NA,NA,F,29,NHL,W,en-US,dTqRDLkv
NA,NA,M,32,NHL,W,en-US,WBR3oDPr
NA,NA,F,61,NHL,W,en-US,JyGoqpBD
NA,NA,M,30,NHL,A,en-US,j11qVoTN
NA,NA,M,66,NHL,W,en-US,yCyEKKfW
NA,NA,F,50,NHL,W,en-US,MgYd6Qui
NA,NA,M,45,NHL,W,en-US,q2txQxOd
NA,NA,F,54,NHL,W,en-US,nww9eCi7
NA,NA,F,22,NHL,A,en-US,439O7MCG
NA,NA,M,48,NHL,AA,en-US,opx0DIfk
NA,NA,M,32,NHL,W,en-US,USuTlSte
NA,NA,M,35,NHL,W,en-US,Y7n1WLGv
NA,NA,F,62,NHL,W,en-US,lVaGU6tj
NA,NA,F,45,NHL,W,en-US,wPdpRZfw
NA,NA,M,33,NHL,W,en-US,LJdzjKwG
NA,NA,M,29,NHL,W,en-US,5XFsqowe
NA,NA,NA,24,NHL,W,en-US,nsbbspws
NA,NA,M,41,NHL,W,en-US,LdzbtBGV
NA,NA,F,31,NHL,W,en-CA,61wjQ16F
NA,NA,M,28,NHL,W,en-US,hr7GQnV6
NA,NA,M,50,NHL,W,en-US,ELYtEYBn
NA,NA,M,45,NHL,W,en-US,jldj59oY
NA,NA,F,53,NHL,W,en-US,jbDDSKEK
